,0
1475.0,"(0.93694732795078817, 0.3627066512879662, 0.094886582083813925)"
1500.0,"(0.93505574778931178, 0.35864667435601694, 0.096086120722798929)"
1525.0,"(0.93316416762783549, 0.35458669742406768, 0.097285659361783933)"
1550.0,"(0.93190311418685123, 0.35188004613610152, 0.098085351787773931)"
1575.0,"(0.93001153402537484, 0.34782006920415226, 0.099284890426758948)"
1600.0,"(0.92875048058439058, 0.3451134179161861, 0.10008458285274893)"
1625.0,"(0.9268589004229143, 0.34105344098423684, 0.10128412149173394)"
1650.0,"(0.92559784698193004, 0.33834678969627063, 0.10208381391772395)"
1675.0,"(0.92370626682045365, 0.33428681276432143, 0.10328335255670895)"
1700.0,"(0.92181468665897737, 0.33022683583237217, 0.10448289119569396)"
1725.0,"(0.92055363321799311, 0.32752018454440601, 0.10528258362168397)"
1750.0,"(0.91866205305651671, 0.32346020761245675, 0.10648212226066897)"
1775.0,"(0.91740099961553256, 0.3207535563244906, 0.10728181468665897)"
1800.0,"(0.91550941945405617, 0.31669357939254134, 0.10848135332564399)"
1825.0,"(0.91361783929257978, 0.31263360246059213, 0.10968089196462899)"
1850.0,"(0.91235678585159552, 0.30992695117262592, 0.11048058439061899)"
1875.0,"(0.91046520569011924, 0.30586697424067666, 0.11168012302960401)"
1900.0,"(0.90920415224913498, 0.3031603229527105, 0.11247981545559399)"
1925.0,"(0.90731257208765859, 0.2991003460207613, 0.11367935409457899)"
1950.0,"(0.90605151864667433, 0.29639369473279509, 0.11447904652056901)"
1975.0,"(0.90415993848519804, 0.29233371780084583, 0.11567858515955401)"
2000.0,"(0.90226835832372165, 0.28827374086889657, 0.11687812379853901)"
2025.0,"(0.90100730488273739, 0.28556708958093041, 0.11767781622452902)"
2050.0,"(0.89911572472126111, 0.28150711264898121, 0.11887735486351403)"
2075.0,"(0.89785467128027685, 0.278800461361015, 0.11967704728950403)"
2100.0,"(0.89596309111880046, 0.27474048442906573, 0.12087658592848904)"
2125.0,"(0.89407151095732407, 0.27068050749711647, 0.12207612456747405)"
2150.0,"(0.89281045751633992, 0.26797385620915037, 0.12287581699346405)"
2175.0,"(0.89091887735486353, 0.26391387927720111, 0.12407535563244906)"
2200.0,"(0.88965782391387926, 0.2612072279892349, 0.12487504805843906)"
2225.0,"(0.88776624375240298, 0.25714725105728564, 0.12607458669742405)"
2250.0,"(0.88587466359092659, 0.25308727412533638, 0.12727412533640908)"
2275.0,"(0.88461361014994233, 0.25038062283737028, 0.12807381776239907)"
2300.0,"(0.88272202998846594, 0.24632064590542102, 0.12927335640138407)"
2325.0,"(0.88146097654748179, 0.24361399461745481, 0.13007304882737408)"
2350.0,"(0.8795693963860054, 0.2395540176855056, 0.13127258746635909)"
2375.0,"(0.87830834294502114, 0.23684736639753945, 0.1320722798923491)"
2400.0,"(0.87641676278354486, 0.23278738946559019, 0.13327181853133407)"
2425.0,"(0.87452518262206846, 0.22872741253364093, 0.13447135717031911)"
2450.0,"(0.8732641291810842, 0.22602076124567477, 0.13527104959630909)"
2475.0,"(0.87137254901960781, 0.22196078431372551, 0.13647058823529412)"
2500.0,"(0.87011149557862355, 0.2192541330257593, 0.13727028066128411)"
2525.0,"(0.86821991541714727, 0.2151941560938101, 0.13846981930026914)"
2550.0,"(0.86632833525567099, 0.21113417916186084, 0.13966935793925411)"
2575.0,"(0.86506728181468673, 0.20842752787389468, 0.14046905036524415)"
2600.0,"(0.86317570165321034, 0.20436755094194542, 0.14166858900422913)"
2625.0,"(0.86191464821222608, 0.20166089965397926, 0.14246828143021914)"
2650.0,"(0.86002306805074968, 0.19760092272203, 0.14366782006920414)"
2675.0,"(0.85876201460976542, 0.19489427143406385, 0.14446751249519416)"
2700.0,"(0.85687043444828914, 0.19083429450211459, 0.14566705113417916)"
2725.0,"(0.85497885428681275, 0.18677431757016533, 0.14686658977316416)"
2750.0,"(0.8537178008458286, 0.18406766628219917, 0.14766628219915418)"
